AVL Inserting 1548233367, traversed counter is 9
BST Inserting 610515434, traversed counter is 8
AVL Inserting 610515434, traversed counter is 88
BST Inserting 1585990364, traversed counter is 10
AVL Inserting 1585990364, traversed counter is 116
BST Inserting 1374344043, traversed counter is 10
AVL Inserting 1374344043, traversed counter is 15
BST Inserting 760313750, traversed counter is 6
AVL Inserting 760313750, traversed counter is 110
BST Inserting 1477171087, traversed counter is 11
AVL Inserting 1477171087, traversed counter is 126
BST Inserting 356426808, traversed counter is 6
AVL Inserting 356426808, traversed counter is 110
BST Inserting 945117276, traversed counter is 9
AVL Inserting 945117276, traversed counter is 10
BST Inserting 1889947178, traversed counter is 5
AVL Inserting 1889947178, traversed counter is 129
BST Inserting 1780695788, traversed counter is 7
AVL Inserting 1780695788, traversed counter is 139
BST Inserting 709393584, traversed counter is 6
AVL Inserting 709393584, traversed counter is 104
BST Inserting 491705403, traversed counter is 8
AVL Inserting 491705403, traversed counter is 107
BST Inserting 1918502651, traversed counter is 4
AVL Inserting 1918502651, traversed counter is 140
BST Inserting 752392754, traversed counter is 7
AVL Inserting 752392754, traversed counter is 127
BST Inserting 1474612399, traversed counter is 12
AVL Inserting 1474612399, traversed counter is 10
BST Inserting 2053999932, traversed counter is 6
AVL Inserting 2053999932, traversed counter is 55
BST Inserting 1264095060, traversed counter is 7
AVL Inserting 1264095060, traversed counter is 10
BST Inserting 1411549676, traversed counter is 11
AVL Inserting 1411549676, traversed counter is 166
BST Inserting 1843993368, traversed counter is 6
AVL Inserting 1843993368, traversed counter is 146
BST Inserting 943947739, traversed counter is 10
AVL Inserting 943947739, traversed counter is 16
BST Inserting 1984210012, traversed counter is 8
AVL Inserting 1984210012, traversed counter is 86
BST Inserting 855636226, traversed counter is 8
AVL Inserting 855636226, traversed counter is 10
BST Inserting 1749698586, traversed counter is 8
AVL Inserting 1749698586, traversed counter is 107
BST Inserting 1469348094, traversed counter is 13
AVL Inserting 1469348094, traversed counter is 131
BST Inserting 1956297539, traversed counter is 4
AVL Inserting 1956297539, traversed counter is 10
BST Inserting 1036140795, traversed counter is 9
AVL Inserting 1036140795, traversed counter is 172
BST Inserting 463480570, traversed counter is 7
AVL Inserting 463480570, traversed counter is 122
BST Inserting 2040651434, traversed counter is 6
AVL Inserting 2040651434, traversed counter is 10
BST Inserting 1975960378, traversed counter is 9
AVL Inserting 1975960378, traversed counter is 174
BST Inserting 317097467, traversed counter is 5
AVL Inserting 317097467, traversed counter is 136
BST Inserting 1892066601, traversed counter is 6
AVL Inserting 1892066601, traversed counter is 160
BST Inserting 1376710097, traversed counter is 12
AVL Inserting 1376710097, traversed counter is 10
BST Inserting 927612902, traversed counter is 9
AVL Inserting 927612902, traversed counter is 188
